reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
0,0.0,0.0,0,0,nan,32,32,32,5.0,0.0,5,5,nan,nan,7
1,0.0,0.0,0,0,0.0,32,32,32,7.0,0.0,7,7,7.0,4.166666666666667,7
2,32.0,0.0,32,32,16.0,32,32,32,10.0,0.0,10,10,5.0,2.9761904761904763,7
3,0.0,0.0,0,0,0.0,32,32,32,14.0,0.0,14,14,4.666666666666667,2.777777777777778,7
4,0.0,0.0,0,0,0.0,32,32,32,18.0,0.0,18,18,4.5,2.6785714285714284,7
5,32.0,0.0,32,32,6.4,32,32,32,22.0,0.0,22,22,4.4,2.619047619047619,7
6,0.0,0.0,0,0,0.0,32,32,32,26.0,0.0,26,26,4.333333333333333,2.579365079365079,7
7,32.0,0.0,32,32,4.571428571428571,32,32,32,30.0,0.0,30,30,4.285714285714286,2.5510204081632653,7
8,32.0,0.0,32,32,4.0,32,32,32,34.0,0.0,34,34,4.25,2.5297619047619047,7
9,32.0,0.0,32,32,3.5555555555555554,32,32,32,38.0,0.0,38,38,4.222222222222222,2.5132275132275135,7
10,32.0,0.0,32,32,3.2,32,32,32,42.0,0.0,42,42,4.2,2.5,7
11,32.0,0.0,32,32,2.909090909090909,32,32,32,46.0,0.0,46,46,4.181818181818182,2.489177489177489,7
12,32.0,0.0,32,32,2.6666666666666665,32,32,32,50.0,0.0,50,50,4.166666666666667,2.4801587301587302,7
13,32.0,0.0,32,32,2.4615384615384617,32,32,32,54.0,0.0,54,54,4.153846153846154,2.4725274725274726,7
14,64.0,0.0,64,64,4.571428571428571,32,32,32,58.0,0.0,58,58,4.142857142857143,2.4659863945578233,7
15,32.0,0.0,32,32,2.1333333333333333,32,32,32,62.0,0.0,62,62,4.133333333333334,2.4603174603174605,7
16,64.0,0.0,64,64,4.0,32,32,32,66.0,0.0,66,66,4.125,2.455357142857143,7
17,32.0,0.0,32,32,1.8823529411764706,32,32,32,70.0,0.0,70,70,4.117647058823529,2.4509803921568625,7
18,32.0,0.0,32,32,1.7777777777777777,32,32,32,74.0,0.0,74,74,4.111111111111111,2.447089947089947,7
19,32.0,0.0,32,32,1.6842105263157894,32,32,32,78.0,0.0,78,78,4.105263157894737,2.4436090225563913,7
20,32.0,0.0,32,32,1.6,32,32,32,82.0,0.0,82,82,4.1,2.4404761904761902,7
21,32.0,0.0,32,32,1.5238095238095237,32,32,32,86.0,0.0,86,86,4.095238095238095,2.437641723356009,7
22,32.0,0.0,32,32,1.4545454545454546,32,32,32,90.0,0.0,90,90,4.090909090909091,2.435064935064935,7
23,64.0,0.0,64,64,2.782608695652174,32,32,32,94.0,0.0,94,94,4.086956521739131,2.4327122153209113,7
24,32.0,0.0,32,32,1.3333333333333333,32,32,32,98.0,0.0,98,98,4.083333333333333,2.4305555555555554,7
25,64.0,0.0,64,64,2.56,32,32,32,102.0,0.0,102,102,4.08,2.4285714285714284,7
26,64.0,0.0,64,64,2.4615384615384617,32,32,32,106.0,0.0,106,106,4.076923076923077,2.4267399267399266,7
27,64.0,0.0,64,64,2.3703703703703702,32,32,32,110.0,0.0,110,110,4.074074074074074,2.4250440917107587,7
28,64.0,0.0,64,64,2.2857142857142856,32,32,32,114.0,0.0,114,114,4.071428571428571,2.4234693877551017,7
29,64.0,0.0,64,64,2.206896551724138,32,32,32,118.0,0.0,118,118,4.068965517241379,2.4220032840722494,7
30,64.0,0.0,64,64,2.1333333333333333,32,32,32,122.0,0.0,122,122,4.066666666666666,2.4206349206349205,7
31,64.0,0.0,64,64,2.064516129032258,32,32,32,126.0,0.0,126,126,4.064516129032258,2.4193548387096775,7
32,64.0,0.0,64,64,2.0,32,32,32,130.0,0.0,130,130,4.0625,2.418154761904762,7
33,64.0,0.0,64,64,1.9393939393939394,32,32,32,134.0,0.0,134,134,4.0606060606060606,2.417027417027417,7
34,64.0,0.0,64,64,1.8823529411764706,32,32,32,138.0,0.0,138,138,4.0588235294117645,2.4159663865546217,7
35,64.0,0.0,64,64,1.8285714285714285,32,32,32,142.0,0.0,142,142,4.057142857142857,2.4149659863945576,7
36,64.0,0.0,64,64,1.7777777777777777,32,32,32,146.0,0.0,146,146,4.055555555555555,2.4140211640211637,7
37,64.0,0.0,64,64,1.7297297297297298,32,32,32,150.0,0.0,150,150,4.054054054054054,2.4131274131274134,7
38,96.0,0.0,96,96,2.526315789473684,32,32,32,154.0,0.0,154,154,4.052631578947368,2.4122807017543857,7
39,96.0,0.0,96,96,2.4615384615384617,32,32,32,158.0,0.0,158,158,4.051282051282051,2.4114774114774113,7
40,96.0,0.0,96,96,2.4,32,32,32,162.0,0.0,162,162,4.05,2.4107142857142856,7
41,96.0,0.0,96,96,2.341463414634146,32,32,32,166.0,0.0,166,166,4.048780487804878,2.4099883855981417,7
42,96.0,0.0,96,96,2.2857142857142856,32,32,32,170.0,0.0,170,170,4.0476190476190474,2.4092970521541948,7
43,96.0,0.0,96,96,2.2325581395348837,32,32,32,174.0,0.0,174,174,4.046511627906977,2.4086378737541527,7
44,96.0,0.0,96,96,2.1818181818181817,32,32,32,178.0,0.0,178,178,4.045454545454546,2.4080086580086584,7
45,96.0,0.0,96,96,2.1333333333333333,32,32,32,182.0,0.0,182,182,4.044444444444444,2.4074074074074074,7
46,128.0,0.0,128,128,2.782608695652174,32,32,32,186.0,0.0,186,186,4.043478260869565,2.406832298136646,7
47,96.0,0.0,96,96,2.0425531914893615,32,32,32,190.0,0.0,190,190,4.042553191489362,2.4062816616008105,7
48,96.0,0.0,96,96,2.0,32,32,32,194.0,0.0,194,194,4.041666666666667,2.4057539682539684,7
49,96.0,0.0,96,96,1.9591836734693877,32,32,32,198.0,0.0,198,198,4.040816326530612,2.4052478134110786,7
50,128.0,0.0,128,128,2.56,32,32,32,202.0,0.0,202,202,4.04,2.4047619047619047,7
51,128.0,0.0,128,128,2.5098039215686274,32,32,32,206.0,0.0,206,206,4.03921568627451,2.404295051353875,7
52,128.0,0.0,128,128,2.4615384615384617,32,32,32,210.0,0.0,210,210,4.038461538461538,2.4038461538461537,7
53,128.0,0.0,128,128,2.4150943396226414,32,32,32,214.0,0.0,214,214,4.037735849056604,2.4034141958670263,7
54,128.0,0.0,128,128,2.3703703703703702,32,32,32,218.0,0.0,218,218,4.037037037037037,2.4029982363315696,7
55,160.0,0.0,160,160,2.909090909090909,32,32,32,222.0,0.0,222,222,4.036363636363636,2.4025974025974026,7
56,128.0,0.0,128,128,2.2857142857142856,32,32,32,226.0,0.0,226,226,4.035714285714286,2.4022108843537415,7
57,128.0,0.0,128,128,2.245614035087719,32,32,32,230.0,0.0,230,230,4.035087719298246,2.401837928153718,7
58,128.0,0.0,128,128,2.206896551724138,32,32,32,234.0,0.0,234,234,4.0344827586206895,2.401477832512315,7
59,128.0,0.0,128,128,2.169491525423729,32,32,32,238.0,0.0,238,238,4.033898305084746,2.401129943502825,7
60,128.0,0.0,128,128,2.1333333333333333,32,32,32,242.0,0.0,242,242,4.033333333333333,2.4007936507936507,7
61,160.0,0.0,160,160,2.622950819672131,32,32,32,246.0,0.0,246,246,4.032786885245901,2.4004683840749412,7
62,160.0,0.0,160,160,2.5806451612903225,32,32,32,250.0,0.0,250,250,4.032258064516129,2.400153609831029,7
63,160.0,0.0,160,160,2.5396825396825395,32,32,32,254.0,0.0,254,254,4.031746031746032,2.399848828420257,7
64,160.0,0.0,160,160,2.5,32,32,32,258.0,0.0,258,258,4.03125,2.3995535714285716,7
65,128.0,0.0,128,128,1.9692307692307693,32,32,32,262.0,0.0,262,262,4.030769230769231,2.399267399267399,7
66,160.0,0.0,160,160,2.4242424242424243,32,32,32,266.0,0.0,266,266,4.03030303030303,2.398989898989899,7
67,128.0,0.0,128,128,1.9104477611940298,32,32,32,270.0,0.0,270,270,4.029850746268656,2.3987206823027716,7
68,160.0,0.0,160,160,2.3529411764705883,32,32,32,274.0,0.0,274,274,4.029411764705882,2.3984593837535013,7
69,192.0,0.0,192,192,2.782608695652174,32,32,32,278.0,0.0,278,278,4.028985507246377,2.3982056590752245,7
70,160.0,0.0,160,160,2.2857142857142856,32,32,32,282.0,0.0,282,282,4.0285714285714285,2.3979591836734695,7
71,192.0,0.0,192,192,2.704225352112676,32,32,32,286.0,0.0,286,286,4.028169014084507,2.397719651240778,7
