reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
0,0.0,0.0,0,0,nan,32,32,32,5.0,0.0,5,5,nan,nan,7
1,0.0,0.0,0,0,0.0,32,32,32,10.0,0.0,10,10,10.0,5.9523809523809526,7
2,0.0,0.0,0,0,0.0,32,32,32,14.0,0.0,14,14,7.0,4.166666666666667,7
3,32.0,0.0,32,32,10.666666666666666,32,32,32,18.0,0.0,18,18,6.0,3.571428571428571,7
4,0.0,0.0,0,0,0.0,32,32,32,22.0,0.0,22,22,5.5,3.2738095238095237,7
5,32.0,0.0,32,32,6.4,32,32,32,26.0,0.0,26,26,5.2,3.0952380952380953,7
6,32.0,0.0,32,32,5.333333333333333,32,32,32,30.0,0.0,30,30,5.0,2.9761904761904763,7
7,32.0,0.0,32,32,4.571428571428571,32,32,32,34.0,0.0,34,34,4.857142857142857,2.891156462585034,7
8,32.0,0.0,32,32,4.0,32,32,32,38.0,0.0,38,38,4.75,2.8273809523809526,7
9,32.0,0.0,32,32,3.5555555555555554,32,32,32,42.0,0.0,42,42,4.666666666666667,2.777777777777778,7
10,0.0,0.0,0,0,0.0,32,32,32,46.0,0.0,46,46,4.6,2.7380952380952377,7
11,32.0,0.0,32,32,2.909090909090909,32,32,32,50.0,0.0,50,50,4.545454545454546,2.705627705627706,7
12,32.0,0.0,32,32,2.6666666666666665,32,32,32,54.0,0.0,54,54,4.5,2.6785714285714284,7
13,32.0,0.0,32,32,2.4615384615384617,32,32,32,58.0,0.0,58,58,4.461538461538462,2.6556776556776556,7
14,64.0,0.0,64,64,4.571428571428571,32,32,32,62.0,0.0,62,62,4.428571428571429,2.6360544217687076,7
15,32.0,0.0,32,32,2.1333333333333333,32,32,32,66.0,0.0,66,66,4.4,2.619047619047619,7
16,32.0,0.0,32,32,2.0,32,32,32,70.0,0.0,70,70,4.375,2.6041666666666665,7
17,64.0,0.0,64,64,3.764705882352941,32,32,32,74.0,0.0,74,74,4.352941176470588,2.591036414565826,7
18,32.0,0.0,32,32,1.7777777777777777,32,32,32,78.0,0.0,78,78,4.333333333333333,2.579365079365079,7
19,32.0,0.0,32,32,1.6842105263157894,32,32,32,82.0,0.0,82,82,4.315789473684211,2.5689223057644113,7
20,64.0,0.0,64,64,3.2,32,32,32,86.0,0.0,86,86,4.3,2.5595238095238093,7
21,32.0,0.0,32,32,1.5238095238095237,32,32,32,90.0,0.0,90,90,4.285714285714286,2.5510204081632653,7
22,64.0,0.0,64,64,2.909090909090909,32,32,32,94.0,0.0,94,94,4.2727272727272725,2.543290043290043,7
23,64.0,0.0,64,64,2.782608695652174,32,32,32,98.0,0.0,98,98,4.260869565217392,2.536231884057971,7
24,64.0,0.0,64,64,2.6666666666666665,32,32,32,102.0,0.0,102,102,4.25,2.5297619047619047,7
25,64.0,0.0,64,64,2.56,32,32,32,106.0,0.0,106,106,4.24,2.5238095238095237,7
26,64.0,0.0,64,64,2.4615384615384617,32,32,32,110.0,0.0,110,110,4.230769230769231,2.5183150183150182,7
27,64.0,0.0,64,64,2.3703703703703702,32,32,32,114.0,0.0,114,114,4.222222222222222,2.5132275132275135,7
28,64.0,0.0,64,64,2.2857142857142856,32,32,32,118.0,0.0,118,118,4.214285714285714,2.508503401360544,7
29,96.0,0.0,96,96,3.310344827586207,32,32,32,122.0,0.0,122,122,4.206896551724138,2.504105090311987,7
30,64.0,0.0,64,64,2.1333333333333333,32,32,32,126.0,0.0,126,126,4.2,2.5,7
31,64.0,0.0,64,64,2.064516129032258,32,32,32,130.0,0.0,130,130,4.193548387096774,2.49615975422427,7
32,64.0,0.0,64,64,2.0,32,32,32,134.0,0.0,134,134,4.1875,2.4925595238095237,7
33,96.0,0.0,96,96,2.909090909090909,32,32,32,138.0,0.0,138,138,4.181818181818182,2.489177489177489,7
34,64.0,0.0,64,64,1.8823529411764706,32,32,32,142.0,0.0,142,142,4.176470588235294,2.4859943977591037,7
35,96.0,0.0,96,96,2.742857142857143,32,32,32,146.0,0.0,146,146,4.171428571428572,2.482993197278912,7
36,96.0,0.0,96,96,2.6666666666666665,32,32,32,150.0,0.0,150,150,4.166666666666667,2.4801587301587302,7
37,96.0,0.0,96,96,2.5945945945945947,32,32,32,154.0,0.0,154,154,4.162162162162162,2.4774774774774775,7
38,64.0,0.0,64,64,1.6842105263157894,32,32,32,158.0,0.0,158,158,4.157894736842105,2.474937343358396,7
39,128.0,0.0,128,128,3.282051282051282,32,32,32,162.0,0.0,162,162,4.153846153846154,2.4725274725274726,7
40,96.0,0.0,96,96,2.4,32,32,32,166.0,0.0,166,166,4.15,2.4702380952380953,7
41,96.0,0.0,96,96,2.341463414634146,32,32,32,170.0,0.0,170,170,4.146341463414634,2.468060394889663,7
42,128.0,0.0,128,128,3.0476190476190474,32,32,32,174.0,0.0,174,174,4.142857142857143,2.4659863945578233,7
43,128.0,0.0,128,128,2.9767441860465116,32,32,32,178.0,0.0,178,178,4.1395348837209305,2.4640088593576968,7
44,128.0,0.0,128,128,2.909090909090909,32,32,32,182.0,0.0,182,182,4.136363636363637,2.4621212121212124,7
45,96.0,0.0,96,96,2.1333333333333333,32,32,32,186.0,0.0,186,186,4.133333333333334,2.4603174603174605,7
46,128.0,0.0,128,128,2.782608695652174,32,32,32,190.0,0.0,190,190,4.130434782608695,2.4585921325051756,7
47,128.0,0.0,128,128,2.723404255319149,32,32,32,194.0,0.0,194,194,4.127659574468085,2.4569402228976696,7
48,128.0,0.0,128,128,2.6666666666666665,32,32,32,198.0,0.0,198,198,4.125,2.455357142857143,7
49,128.0,0.0,128,128,2.6122448979591835,32,32,32,202.0,0.0,202,202,4.122448979591836,2.453838678328474,7
50,128.0,0.0,128,128,2.56,32,32,32,206.0,0.0,206,206,4.12,2.4523809523809526,7
51,128.0,0.0,128,128,2.5098039215686274,32,32,32,210.0,0.0,210,210,4.117647058823529,2.4509803921568625,7
52,128.0,0.0,128,128,2.4615384615384617,32,32,32,214.0,0.0,214,214,4.115384615384615,2.4496336996336994,7
53,128.0,0.0,128,128,2.4150943396226414,32,32,32,218.0,0.0,218,218,4.113207547169812,2.4483378256963166,7
54,128.0,0.0,128,128,2.3703703703703702,32,32,32,222.0,0.0,222,222,4.111111111111111,2.447089947089947,7
55,128.0,0.0,128,128,2.327272727272727,32,32,32,226.0,0.0,226,226,4.109090909090909,2.445887445887446,7
56,128.0,0.0,128,128,2.2857142857142856,32,32,32,230.0,0.0,230,230,4.107142857142857,2.4447278911564623,7
57,160.0,0.0,160,160,2.807017543859649,32,32,32,234.0,0.0,234,234,4.105263157894737,2.4436090225563913,7
58,128.0,0.0,128,128,2.206896551724138,32,32,32,238.0,0.0,238,238,4.103448275862069,2.4425287356321843,7
59,160.0,0.0,160,160,2.711864406779661,32,32,32,242.0,0.0,242,242,4.101694915254237,2.4414850686037126,7
60,128.0,0.0,128,128,2.1333333333333333,32,32,32,246.0,0.0,246,246,4.1,2.4404761904761902,7
61,128.0,0.0,128,128,2.098360655737705,32,32,32,250.0,0.0,250,250,4.098360655737705,2.4395003903200623,7
62,160.0,0.0,160,160,2.5806451612903225,32,32,32,254.0,0.0,254,254,4.096774193548387,2.4385560675883258,7
63,160.0,0.0,160,160,2.5396825396825395,32,32,32,258.0,0.0,258,258,4.095238095238095,2.437641723356009,7
64,160.0,0.0,160,160,2.5,32,32,32,262.0,0.0,262,262,4.09375,2.4367559523809526,7
65,160.0,0.0,160,160,2.4615384615384617,32,32,32,266.0,0.0,266,266,4.092307692307692,2.4358974358974357,7
66,160.0,0.0,160,160,2.4242424242424243,32,32,32,270.0,0.0,270,270,4.090909090909091,2.435064935064935,7
67,160.0,0.0,160,160,2.388059701492537,32,32,32,274.0,0.0,274,274,4.08955223880597,2.4342572850035533,7
68,160.0,0.0,160,160,2.3529411764705883,32,32,32,278.0,0.0,278,278,4.088235294117647,2.433473389355742,7
69,160.0,0.0,160,160,2.318840579710145,32,32,32,282.0,0.0,282,282,4.086956521739131,2.4327122153209113,7
70,192.0,0.0,192,192,2.742857142857143,32,32,32,286.0,0.0,286,286,4.085714285714285,2.431972789115646,7
71,192.0,0.0,192,192,2.704225352112676,32,32,32,290.0,0.0,290,290,4.084507042253521,2.431254191817572,7
72,160.0,0.0,160,160,2.2222222222222223,32,32,32,294.0,0.0,294,294,4.083333333333333,2.4305555555555554,7
73,160.0,0.0,160,160,2.191780821917808,32,32,32,298.0,0.0,298,298,4.082191780821918,2.4298760600130467,7
74,192.0,0.0,192,192,2.5945945945945947,32,32,32,302.0,0.0,302,302,4.081081081081081,2.429214929214929,7
75,160.0,0.0,160,160,2.1333333333333333,32,32,32,306.0,0.0,306,306,4.08,2.4285714285714284,7
76,192.0,0.0,192,192,2.526315789473684,32,32,32,310.0,0.0,310,310,4.078947368421052,2.427944862155388,7
77,192.0,0.0,192,192,2.4935064935064934,32,32,32,314.0,0.0,314,314,4.077922077922078,2.427334570191713,7
78,192.0,0.0,192,192,2.4615384615384617,32,32,32,318.0,0.0,318,318,4.076923076923077,2.4267399267399266,7
79,192.0,0.0,192,192,2.430379746835443,32,32,32,322.0,0.0,322,322,4.075949367088608,2.426160337552743,7
80,224.0,0.0,224,224,2.8,32,32,32,326.0,0.0,326,326,4.075,2.425595238095238,7
81,192.0,0.0,192,192,2.3703703703703702,32,32,32,330.0,0.0,330,330,4.074074074074074,2.4250440917107587,7
82,192.0,0.0,192,192,2.341463414634146,32,32,32,334.0,0.0,334,334,4.073170731707317,2.424506387921022,7
83,192.0,0.0,192,192,2.3132530120481927,32,32,32,338.0,0.0,338,338,4.072289156626506,2.4239816408491106,7
84,192.0,0.0,192,192,2.2857142857142856,32,32,32,342.0,0.0,342,342,4.071428571428571,2.4234693877551017,7
85,192.0,0.0,192,192,2.2588235294117647,32,32,32,346.0,0.0,346,346,4.070588235294117,2.42296918767507,7
86,224.0,0.0,224,224,2.604651162790698,32,32,32,350.0,0.0,350,350,4.069767441860465,2.4224806201550386,7
87,224.0,0.0,224,224,2.574712643678161,32,32,32,354.0,0.0,354,354,4.068965517241379,2.4220032840722494,7
88,224.0,0.0,224,224,2.5454545454545454,32,32,32,358.0,0.0,358,358,4.068181818181818,2.4215367965367967,7
89,224.0,0.0,224,224,2.5168539325842696,32,32,32,362.0,0.0,362,362,4.067415730337078,2.4210807918673085,7
90,224.0,0.0,224,224,2.488888888888889,32,32,32,366.0,0.0,366,366,4.066666666666666,2.4206349206349205,7
91,224.0,0.0,224,224,2.4615384615384617,32,32,32,370.0,0.0,370,370,4.065934065934066,2.4201988487702772,7
92,224.0,0.0,224,224,2.4347826086956523,32,32,32,374.0,0.0,374,374,4.065217391304348,2.4197722567287783,7
93,224.0,0.0,224,224,2.4086021505376345,32,32,32,378.0,0.0,378,378,4.064516129032258,2.4193548387096775,7
94,224.0,0.0,224,224,2.382978723404255,32,32,32,382.0,0.0,382,382,4.0638297872340425,2.4189463019250255,7
95,224.0,0.0,224,224,2.357894736842105,32,32,32,386.0,0.0,386,386,4.063157894736842,2.418546365914787,7
96,224.0,0.0,224,224,2.3333333333333335,32,32,32,390.0,0.0,390,390,4.0625,2.418154761904762,7
97,224.0,0.0,224,224,2.3092783505154637,32,32,32,394.0,0.0,394,394,4.061855670103093,2.4177712322042217,7
98,256.0,0.0,256,256,2.6122448979591835,32,32,32,398.0,0.0,398,398,4.061224489795919,2.417395529640428,7
99,224.0,0.0,224,224,2.2626262626262625,32,32,32,402.0,0.0,402,402,4.0606060606060606,2.417027417027417,7
100,256.0,0.0,256,256,2.56,32,32,32,406.0,0.0,406,406,4.06,2.4166666666666665,7
101,256.0,0.0,256,256,2.5346534653465347,32,32,32,410.0,0.0,410,410,4.0594059405940595,2.4163130598774165,7
102,256.0,0.0,256,256,2.5098039215686274,32,32,32,414.0,0.0,414,414,4.0588235294117645,2.4159663865546217,7
