reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
0,0.0,0.0,0,0,nan,32,32,32,5.0,0.0,5,5,nan,nan,7
1,32.0,0.0,32,32,32.0,32,32,32,12.0,0.0,12,12,12.0,7.142857142857142,7
2,0.0,0.0,0,0,0.0,32,32,32,22.0,0.0,22,22,11.0,6.5476190476190474,7
3,32.0,0.0,32,32,10.666666666666666,32,32,32,32.0,0.0,32,32,10.666666666666666,6.349206349206349,7
4,32.0,0.0,32,32,8.0,32,32,32,42.0,0.0,42,42,10.5,6.25,7
5,32.0,0.0,32,32,6.4,32,32,32,52.0,0.0,52,52,10.4,6.190476190476191,7
6,32.0,0.0,32,32,5.333333333333333,32,32,32,62.0,0.0,62,62,10.333333333333334,6.150793650793651,7
7,32.0,0.0,32,32,4.571428571428571,32,32,32,72.0,0.0,72,72,10.285714285714286,6.122448979591837,7
8,32.0,0.0,32,32,4.0,32,32,32,82.0,0.0,82,82,10.25,6.101190476190476,7
9,64.0,0.0,64,64,7.111111111111111,32,32,32,92.0,0.0,92,92,10.222222222222221,6.084656084656084,7
10,64.0,0.0,64,64,6.4,32,32,32,102.0,0.0,102,102,10.2,6.071428571428571,7
11,64.0,0.0,64,64,5.818181818181818,32,32,32,112.0,0.0,112,112,10.181818181818182,6.0606060606060606,7
12,96.0,0.0,96,96,8.0,32,32,32,122.0,0.0,122,122,10.166666666666666,6.051587301587301,7
13,64.0,0.0,64,64,4.923076923076923,32,32,32,132.0,0.0,132,132,10.153846153846153,6.043956043956044,7
14,96.0,0.0,96,96,6.857142857142857,32,32,32,142.0,0.0,142,142,10.142857142857142,6.037414965986394,7
15,96.0,0.0,96,96,6.4,32,32,32,152.0,0.0,152,152,10.133333333333333,6.031746031746032,7
16,96.0,0.0,96,96,6.0,32,32,32,162.0,0.0,162,162,10.125,6.026785714285714,7
17,96.0,0.0,96,96,5.647058823529412,32,32,32,172.0,0.0,172,172,10.117647058823529,6.022408963585434,7
18,128.0,0.0,128,128,7.111111111111111,32,32,32,182.0,0.0,182,182,10.11111111111111,6.018518518518518,7
19,128.0,0.0,128,128,6.7368421052631575,32,32,32,192.0,0.0,192,192,10.105263157894736,6.015037593984962,7
20,128.0,0.0,128,128,6.4,32,32,32,202.0,0.0,202,202,10.1,6.011904761904762,7
21,160.0,0.0,160,160,7.619047619047619,32,32,32,212.0,0.0,212,212,10.095238095238095,6.00907029478458,7
22,128.0,0.0,128,128,5.818181818181818,32,32,32,222.0,0.0,222,222,10.090909090909092,6.0064935064935066,7
